                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                  2.016,                0.99855,                 1.2275,                 2.2178,                 1.2038,                 1.1352,                0.67711,                0.62154,                0.63827,                0.22317,                 2.1314,                 1.0297,                 1.2363,                 2.2654,                 1.2099,                  1.119,               0.000911,               0.000911,               0.000911
                     58,                 1.9837,                0.98663,                 1.1991,                 2.2037,                 1.1785,                 1.1154,                0.68309,                0.63692,                0.62489,                0.24007,                 1.9615,                0.99681,                 1.1789,                 2.1803,                 1.2279,                 1.0913,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.0224,                 1.0128,                 1.1995,                 2.2475,                 1.2114,                 1.1087,                0.61279,                0.63385,                0.60854,                0.21759,                  2.042,                 1.0317,                 1.2068,                 2.2337,                 1.2366,                 1.0977,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.9194,                 1.0001,                 1.1971,                 2.1551,                 1.1881,                 1.1132,                0.71838,                0.61538,                0.66074,                0.24755,                 2.0012,                 1.0073,                 1.1847,                 2.1678,                 1.2118,                 1.0814,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.0305,                  1.028,                 1.2328,                 2.2548,                 1.2153,                 1.1434,                  0.671,                0.65892,                0.66146,                0.23823,                 2.0459,                 1.0191,                 1.2103,                 2.1879,                 1.2279,                 1.0885,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.9923,                  1.013,                 1.2191,                 2.2232,                 1.1881,                 1.1294,                0.71578,                0.64308,                0.68295,                0.26876,                 1.9742,                 0.9512,                 1.1849,                 2.1343,                   1.14,                 1.0776,               0.000812,               0.000812,               0.000812
                     63,                 2.0055,                 1.0356,                 1.2199,                 2.2012,                 1.2206,                 1.1267,                0.64951,                0.62769,                0.63134,                0.24174,                  2.024,                 1.0387,                 1.1899,                 2.1764,                 1.1946,                 1.0905,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.9752,                 0.9903,                 1.1976,                  2.207,                 1.1831,                 1.1139,                0.71563,                0.59623,                0.63734,                0.24057,                  2.041,                0.99328,                 1.2103,                 2.2165,                 1.2081,                 1.1009,              0.0007724,              0.0007724,              0.0007724
                     65,                  1.962,                 0.9955,                 1.2146,                 2.1952,                 1.1834,                 1.1212,                0.71512,                0.64615,                0.67653,                0.27248,                 1.9424,                0.95797,                 1.1662,                 2.1189,                 1.1382,                 1.0787,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.989,                0.98402,                 1.2119,                 2.1899,                  1.159,                 1.1193,                0.67121,                0.66583,                 0.6498,                 0.2407,                 2.0475,                 1.0006,                 1.2126,                 2.2144,                 1.1618,                 1.1001,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.9618,                0.98523,                 1.1933,                 2.1862,                 1.1723,                 1.1115,                0.68689,                0.65231,                0.67139,                0.25885,                 2.0087,                0.97916,                 1.1862,                 2.1666,                  1.187,                 1.0816,               0.000713,               0.000713,               0.000713
                     68,                 1.9636,                0.97619,                 1.1781,                 2.1662,                 1.1514,                  1.099,                0.69744,                0.63385,                0.65608,                0.25569,                 1.9916,                0.95141,                 1.1941,                 2.1637,                 1.1536,                 1.0906,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.963,                0.99172,                 1.2032,                 2.1724,                 1.1756,                 1.1132,                0.65156,                0.63692,                0.61907,                0.21734,                 2.1129,                0.99077,                 1.2254,                 2.3116,                 1.2051,                 1.1251,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.9699,                0.97942,                 1.2037,                 2.1872,                 1.1426,                 1.1193,                0.68085,                0.63077,                0.65416,                0.24734,                 1.9576,                0.96534,                 1.1693,                 2.2052,                 1.1325,                 1.0888,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.9496,                0.99425,                 1.2061,                  2.173,                 1.1573,                 1.1249,                0.64019,                0.67077,                0.65877,                0.25218,                 1.9802,                0.99305,                 1.1783,                 2.1947,                 1.1637,                 1.0879,              0.0006338,              0.0006338,              0.0006338
